,ID Number,Season,Grade Level,Gender_x,1600 Meters,Gender_y,400 Meters
0,125,2005 Outdoor Season                     ,11th Grade,M,307.8,M,53.3
1,533,2006 Outdoor Season                     ,12th Grade,M,259.6,M,51.3
2,535,2006 Outdoor Season                     ,11th Grade,M,268.7,M,52.5
3,540,2006 Outdoor Season                     ,11th Grade,M,285.2,M,54.5
4,542,2005 Outdoor Season                     ,12th Grade,M,280.3,M,58.2
5,543,2005 Outdoor Season                     ,10th Grade,M,277.6,M,53.2
6,543,2007 Indoor Season                     ,12th Grade,M,307.7,M,55.8
7,566,2006 Outdoor Season                     ,11th Grade,M,288.5,M,64.4
8,657,2004 Outdoor Season                     ,11th Grade,M,305.3,M,58.14
9,839,2006 Outdoor Season                     ,12th Grade,M,277.9,M,55.04
10,1473,2006 Outdoor Season                     ,11th Grade,M,271.4,M,56.9
11,1516,2005 Outdoor Season                     ,11th Grade,M,333.6,M,65.04
17,2413,2004 Outdoor Season                     ,9th Grade,M,298.8,M,56.8
18,2413,2005 Outdoor Season                     ,10th Grade,M,277.71,M,54.0
19,2413,2007 Outdoor Season                     ,12th Grade,M,282.8,M,52.6
20,2416,2005 Outdoor Season                     ,11th Grade,M,340.7,M,52.8
21,2758,2006 Outdoor Season                     ,12th Grade,M,276.3,M,52.64
22,3008,2006 Outdoor Season                     ,11th Grade,M,306.3,M,63.6
23,3475,2004 Outdoor Season                     ,9th Grade,M,344.9,M,63.24
24,3477,2004 Outdoor Season                     ,9th Grade,M,283.5,M,54.54
25,3477,2005 Outdoor Season                     ,10th Grade,M,271.0,M,52.44
26,3477,2006 Outdoor Season                     ,11th Grade,M,254.84,M,53.24
27,3981,2004 Outdoor Season                     ,12th Grade,M,314.42,M,59.74
28,4139,2006 Outdoor Season                     ,12th Grade,M,292.63,M,54.69
29,4416,2005 Outdoor Season                     ,10th Grade,M,325.0,M,61.24
30,4426,2006 Outdoor Season                     ,11th Grade,M,296.7,M,59.04
31,4426,2007 Outdoor Season                     ,12th Grade,M,299.9,M,60.25
32,4580,2006 Outdoor Season                     ,12th Grade,M,279.47,M,54.0
33,5010,2006 Outdoor Season                     ,12th Grade,M,290.35,M,53.44
34,5323,2006 Outdoor Season                     ,11th Grade,M,348.11,M,59.5
35,6182,2004 Outdoor Season                     ,9th Grade,M,311.07,M,56.74
36,6305,2005 Outdoor Season                     ,12th Grade,M,268.28,M,52.88
40,6951,2005 Outdoor Season                     ,11th Grade,M,294.0,M,54.44
41,7274,2006 Outdoor Season                     ,12th Grade,M,307.87,M,58.19
42,7420,2006 Outdoor Season                     ,12th Grade,M,305.1,M,61.24
43,7477,2007 Outdoor Season                     ,12th Grade,M,281.0,M,55.0
45,8206,2008 Outdoor Season                     ,10th Grade,M,293.19,M,54.0
46,8206,2009 Outdoor Season                     ,11th Grade,M,302.66,M,51.8
47,8892,2005 Outdoor Season                     ,12th Grade,M,314.37,M,62.49
48,9085,2005 Outdoor Season                     ,10th Grade,M,243.3,M,54.72
49,9474,2005 Outdoor Season                     ,12th Grade,M,317.15,M,52.08
50,9959,2007 Outdoor Season                     ,12th Grade,M,283.0,M,54.4
51,10814,2008 Outdoor Season                     ,12th Grade,M,269.4,M,50.2
52,10822,2005 Outdoor Season                     ,10th Grade,M,337.7,M,59.64
53,11404,2005 Outdoor Season                     ,9th Grade,M,349.8,M,65.64
54,11407,2005 Outdoor Season                     ,9th Grade,M,345.3,M,63.74
55,11417,2005 Outdoor Season                     ,9th Grade,M,392.9,M,72.5
56,11453,2007 Outdoor Season                     ,11th Grade,M,301.0,M,67.14
57,11568,2006 Outdoor Season                     ,10th Grade,M,312.5,M,56.6
58,11569,2006 Outdoor Season                     ,10th Grade,M,313.5,M,56.0
59,11633,2005 Outdoor Season                     ,10th Grade,M,294.9,M,55.94
60,12721,2007 Outdoor Season                     ,11th Grade,M,308.5,M,57.94
61,13229,2006 Outdoor Season                     ,11th Grade,M,316.2,M,61.92
62,13257,2006 Outdoor Season                     ,10th Grade,M,298.5,M,58.0
63,13262,2006 Outdoor Season                     ,10th Grade,M,317.2,M,60.3
64,13899,2007 Outdoor Season                     ,11th Grade,M,321.2,M,58.34
65,14003,2005 Outdoor Season                     ,10th Grade,M,297.0,M,57.44
66,14048,2007 Outdoor Season                     ,11th Grade,M,311.0,M,55.61
67,14340,2007 Outdoor Season                     ,11th Grade,M,290.7,M,57.3
68,14928,2006 Outdoor Season                     ,11th Grade,M,310.4,M,59.84
69,14961,2006 Outdoor Season                     ,10th Grade,M,297.22,M,53.8
70,16795,2005 Outdoor Season                     ,9th Grade,M,349.5,M,60.84
71,17286,2008 Outdoor Season                     ,11th Grade,M,351.6,M,62.3
72,17286,2009 Outdoor Season                     ,12th Grade,M,349.18,M,63.2
73,17458,2005 Outdoor Season                     ,9th Grade,M,334.0,M,66.74
74,17771,2005 Outdoor Season                     ,10th Grade,M,353.0,M,67.24
75,18341,2006 Outdoor Season                     ,10th Grade,M,320.1,M,66.3
76,18409,2006 Outdoor Season                     ,10th Grade,M,291.08,M,56.8
77,18409,2008 Outdoor Season                     ,12th Grade,M,264.0,M,52.0
78,18928,2006 Outdoor Season                     ,10th Grade,M,353.93,M,65.41
79,18928,2007 Outdoor Season                     ,11th Grade,M,336.1,M,61.14
80,18931,2006 Outdoor Season                     ,10th Grade,M,313.12,M,59.24
81,19406,2005 Outdoor Season                     ,10th Grade,M,412.8,M,73.14
82,19590,2008 Outdoor Season                     ,12th Grade,M,276.7,M,51.1
83,19701,2006 Outdoor Season                     ,10th Grade,M,336.3,M,63.6
